"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Appalachian State University","Dougherty Administration Building, Boone, North Carolina 28608","www.appstate.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Town: Distant","Yes","17589","15712","69%","13%","Fall 2007","$10,203","-","197869","00290600"
"Aquinas College","1607 Robinson Road SE, Grand Rapids, Michigan 49506-1799","www.aquinas.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","2093","1922","60%","29%","Fall 2007","$16,581","-","168786","00223900"
"Aquinas College","4210 Harding Pike, Nashville, Tennessee 37205","www.aquinascollege.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Large","Yes","617","553","41%","NA","Fall 2007","$20,153","-","219578","00347700"
"Arcadia University","450 S Easton Rd, Glenside, Pennsylvania 19038-3295","www.arcadia.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","4027","2359","61%","NA","Fall 2007","$26,151","-","211088","00323500"
"Argosy University-Atlanta","980 Hammond Drive, Building 2, Suite 100, Atlanta, Georgia 30328","argosy.edu/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","2197","444","NA","NA","Fall 2007","$19,167","-","367936","02179902"
"Argosy University-Chicago","225 N. Michigan Ave, Ste 1300, Chicago, Illinois 60601","www.argosy.edu/chicago","4-year, Private for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","1206","311","0%","NA","Fall 2007","$18,829","-","145770","02179936"
"Argosy University-Dallas","5001 Lyndon B. Johnson Freeway, Heritage Square, Suite 230, Farmers Branch, Texas 75244","www.argosy.edu/dallas/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","473","166","NA","NA","Fall 2007","$20,272","-","442222","02179919"
"Argosy University-Denver","7600 East Eastman Avenue, Denver, Colorado 80231","www.argosy.edu/denver/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","394","106","NA","NA","Fall 2007","$17,815","-","448734","02179930"
"Argosy University-Hawaii","1001 Bishop Street, Suite 400, Honolulu, Hawaii 96813","www.argosy.edu/hawaii/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","605","173","NA","NA","Fall 2007","$16,821","-","366748","02179905"
"Argosy University-Inland Empire","3401 Centre Lake Drive, Suite 200, Ontario, California 91761","www.argosy.edu/inlandempire","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","No","730","370","NA","NA","Fall 2007","$19,681","-","450526","02179932"
"Argosy University-Los Angeles","5230 Pacific Concourse, Suite 200, Los Angeles, California 90045","www.argosy.edu/losangeles","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","No","612","277","NA","NA","Fall 2007","$20,773","-","447272","02179928"
