"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Buena Vista University","610 W 4th St, Storm Lake, Iowa 50588","www.bvu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Remote","Yes","2416","2330","53%","NA","Fall 2007","$18,906","-","153001","00184700"
"Buffalo State SUNY","1300 Elmwood Ave, Buffalo, New York 14222","www.buffalostate.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","Yes","11781","9747","49%","26%","Fall 2007","$10,911","-","196130","00284200"
"Burlington College","351 North Ave, Burlington, Vermont 05401","www.burlington.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Small","Yes","236","224","22%","30%","Fall 2007","$24,968","-","230825","01218300"
"Butler University","4600 Sunset Ave, Indianapolis, Indiana 46208","www.butler.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","Yes","4712","3961","74%","7%","Fall 2007","$30,991","-","150163","00178800"
"Cabarrus College of Health Sciences","401 Medical Park Drive, Concord, North Carolina 28025-3959","www.cabarruscollege.edu/index.cfm","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","499","499","69%","NA","Fall 2007","$12,996","-","198109","00647700"
"Cabrini College","610 King of Prussia Rd, Radnor, Pennsylvania 19087-3698","www.cabrini.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","2828","1432","46%","NA","Fall 2007","$25,146","-","211352","00324100"
"Cairn University-Langhorne","200 Manor Ave, Langhorne, Pennsylvania 19047-2990","www.cairn.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","1176","928","70%","NA","Fall 2007","$18,158","-","215114","00335100"
"Caldwell College","120 Bloomfield Avenue, Caldwell, New Jersey 07006-6195","www.caldwell.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","2213","1591","53%","NA","Fall 2007","$18,608","-","183910","00259800"
"California Baptist University","8432 Magnolia Ave, Riverside, California 92504-3297","www.calbaptist.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","6031","4954","58%","NA","Fall 2007","$25,144","-","110361","00112500"
"California Christian College","4881 E University Ave, Fresno, California 93703-3599","www.calchristiancollege.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","35","35","25%","75%","Fall 2007","$11,734","-","110918","00884400"
"California College of the Arts","1111 Eighth Street, San Francisco, California 94107-2247","www.cca.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","1945","1478","62%","NA","Fall 2007","$35,127","-","110370","00112700"
"California College San Diego","277 Rancheros Drive, Suite 200, San Marcos, California 92069-2971","www.cc-sd.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","","No","","","NA","NA","Fall 2007","$23,315","-","478634","02110802"
"California College San Diego","22 West 35th Street, National City, California 91950-7924","www.cc-sd.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","","No","","","NA","NA","Fall 2007","$22,300","-","478625","02110801"
"California College San Diego","6602 Convoy Court Ste 100, San Diego, California 92111-1009","www.cc-sd.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","1139","1139","58%","1%","Fall 2007","$22,848","-","110945","02110800"
"California Institute of Integral Studies","1453 Mission Street, San Francisco, California 94103","www.ciis.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","1350","93","NA","NA","Fall 2007","NA","-","110316","01215400"
"California Institute of Technology","1200 E California Blvd, Pasadena, California 91125","www.caltech.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","2243","997","93%","NA","Fall 2007","$24,308","-","110404","00113100"
"California Institute of the Arts","24700 W McBean Pky, Valencia, California 91355-2397","www.calarts.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1441","950","57%","3%","Fall 2007","$42,794","-","111081","00113200"
"California InterContinental University","1470 Valley Vista Dr Ste 150, Diamond Bar, California 91765","","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","","No","","","NA","NA","Fall 2007","NA","-","455451",""
"California Lutheran University","60 W Olsen Rd, Thousand Oaks, California 91360-2787","www.callutheran.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","4205","2804","70%","26%","Fall 2007","$29,718","-","110413","00113300"
"California Maritime Academy","200 Maritime Academy Dr, Vallejo, California 94590","www.csum.edu","4-year, Public","Bachelor's degree","City: Midsize","Yes","973","973","59%","5%","Fall 2007","$14,300","-","111188","00113400"
"California Miramar University","9750 Miramar Road, Suite 180, San Diego, California 92126","www.calmu.edu","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","","No","","","NA","NA","Fall 2007","NA","-","480781","04189700"
"California Polytechnic State University-San Luis Obispo","1 Grand Ave., San Luis Obispo, California 93407","calpoly.edu","4-year, Public","Bachelor's degree|Master's degree","Suburb: Small","Yes","18679","17680","70%","5%","Fall 2007","$17,365","-","110422","00114300"
"California State Polytechnic University-Pomona","3801 West Temple Avenue, Pomona, California 91768","www.csupomona.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","22156","20542","52%","4%","Fall 2007","$10,693","-","110529","00114400"
"California State University-Bakersfield","9001 Stockdale Hwy, Bakersfield, California 93311-1099","www.csub.edu","4-year, Public","Bachelor's degree|Master's degree","City: Large","Yes","8520","7400","39%","3%","Fall 2007","$8,117","-","110486","00799300"
"California State University-Channel Islands","One University Dr, Camarillo, California 93012","www.csuci.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Midsize","Yes","4920","4736","52%","8%","Fall 2007","$12,820","-","441937","03980300"
"California State University-Chico","First and Normal Sts, Chico, California 95929-0150","www.csuchico.edu","4-year, Public","Bachelor's degree|Master's degree","City: Small","Yes","16470","15316","56%","5%","Fall 2007","$12,836","-","110538","00114600"
"California State University-Dominguez Hills","1000 E Victoria St, Carson, California 90747-0005","www.csudh.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","Yes","13933","11503","29%","3%","Fall 2007","$2,791","-","110547","00114100"
"California State University-East Bay","25800 Carlos Bee Blvd, Hayward, California 94542","www.csueastbay.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Midsize","Yes","13851","11562","38%","4%","Fall 2007","$11,230","-","110574","00113800"
"California State University-Fresno","5241 N Maple Ave, Fresno, California 93740","www.csufresno.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","City: Large","Yes","22565","19719","49%","3%","Fall 2007","$6,228","-","110556","00114700"
"California State University-Fullerton","800 N State College Blvd, Fullerton, California 92831-3599","www.fullerton.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","Suburb: Large","Yes","37677","32379","53%","3%","Fall 2007","$6,885","-","110565","00113700"
"California State University-Long Beach","1250 Bellflower Blvd, Long Beach, California 90840-0115","www.csulb.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","City: Large","Yes","36279","31053","60%","2%","Fall 2007","$8,169","-","110583","00113900"
"California State University-Los Angeles","5151 State University Dr, Los Angeles, California 90032","www.calstatela.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","21755","18111","36%","2%","Fall 2007","$4,756","-","110592","00114000"
"California State University-Monterey Bay","100 Campus Center, Seaside, California 93955-8001","www.csumb.edu","4-year, Public","Bachelor's degree|Master's degree","Suburb: Midsize","Yes","5609","5185","38%","11%","Fall 2007","$8,384","-","409698","03260300"
"California State University-Northridge","18111 Nordhoff St, Northridge, California 91330","www.csun.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","36164","31442","46%","11%","Fall 2007","$10,500","-","110608","00115300"
"California State University-Sacramento","6000 J St, Sacramento, California 95819-2694","www.csus.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","City: Large","Yes","28539","25624","43%","4%","Fall 2007","$9,006","-","110617","00115000"
"California State University-San Bernardino","5500 University Pky, San Bernardino, California 92407-2397","www.csusb.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","18234","16055","41%","2%","Fall 2007","$6,571","-","110510","00114200"
"California State University-San Marcos","333 S Twin Oaks Valley Rd, San Marcos, California 92096-0001","www.csusm.edu","4-year, Public","Bachelor's degree|Master's degree","Suburb: Large","Yes","10610","9929","48%","8%","Fall 2007","$11,133","-","366711","03011300"
"California State University-Stanislaus","One University Circle, Turlock, California 95382-0299","www.csustan.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","Suburb: Small","Yes","8882","7621","52%","5%","Fall 2007","$7,190","-","110495","00115700"
"California University of Management and Sciences","721 N Euclid St, Anaheim, California 92801","www.calums.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","","","NA","NA","Fall 2007","$18,189","-","460075","04133100"
"California University of Pennsylvania","250 University Ave, California, Pennsylvania 15419-1394","www.calu.edu","4-year, Public","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Small","Yes","8608","6681","50%","NA","Fall 2007","$16,829","-","211361","00331600"
"Calumet College of Saint Joseph","2400 New York Ave, Whiting, Indiana 46394","www.ccsj.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","1030","867","34%","NA","Fall 2007","$11,644","-","150172","00183400"
"Calvary Bible College and Theological Seminary","15800 Calvary Road, Kansas City, Missouri 64147-1341","www.calvary.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","309","252","50%","NA","Fall 2007","$14,182","-","176789","00245000"
"Calvin College","3201 Burton Street SE, Grand Rapids, Michigan 49546","www.calvin.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","4008","3930","73%","NA","Fall 2007","$25,100","-","169080","00224100"
"Cambridge College","1000 Massachusetts Avenue, Cambridge, Massachusetts 02138","www.cambridgecollege.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","No","3378","1090","2%","NA","Fall 2007","$15,910","-","165167","02182900"
"Cameron University","2800 West Gore Blvd, Lawton, Oklahoma 73505-6377","www.cameron.edu","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Small","Yes","6115","5571","20%","18%","Fall 2007","$9,016","-","206914","00315000"
"Campbell University","450 Leslie Campbell Ave, Buies Creek, North Carolina 27506","www.campbell.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","Town: Fringe","Yes","6189","4589","49%","44%","Fall 2007","$26,163","-","198136","00291300"
"Campbellsville University","1 University Dr, Campbellsville, Kentucky 42718-2799","www.campbellsville.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","Town: Remote","Yes","3667","3122","44%","NA","Fall 2007","$14,187","-","156365","00195900"
"Canisius College","2001 Main St, Buffalo, New York 14208-1098","WWW.Canisius.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","Yes","4908","3280","67%","NA","Fall 2007","$19,668","-","189705","00268100"
"Capella University","225 South 6th Street, 9th Floor, Minneapolis, Minnesota 55402-3389","www.capella.edu","4-year, Private for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","35754","8087","0%","33%","Fall 2007","NA","-","413413","03267300"
"Capital University","1 College and Main, Columbus, Ohio 43209-2394","www.capital.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","Suburb: Large","Yes","3584","2720","58%","NA","Fall 2007","$22,062","-","201548","00302300"
"Capitol College","11301 Springfield Rd, Laurel, Maryland 20708","www.capitol-college.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","905","441","43%","NA","Fall 2007","$19,034","-","162061","00143600"
"Cardinal Stritch University","6801 N Yates Rd, Milwaukee, Wisconsin 53217-3985","www.stritch.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","4614","2799","42%","NA","Fall 2007","$20,018","-","238430","00383700"
"Careers Unlimited","1176 South 1480 West, Orem, Utah 84058","www.ucdh.edu","4-year, Private for-profit","Bachelor's degree","City: Small","No","118","118","100%","NA","Fall 2007","NA","Dental Hygiene/Hygienist","448239","03463300"
"Caribbean University-Bayamon","167 Ave.  Km 21.2, Bayamon, Puerto Rico 00960-0493","www.caribbean.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","1869","1597","22%","9%","Fall 2007","$2,128","-","241377","01252500"
"Caribbean University-Carolina","Calle Ignacio Arzuaga #208, Carolina, Puerto Rico 00985","www.caribbean.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","925","779","31%","5%","Fall 2007","$3,233","-","241386","01252503"
"Caribbean University-Ponce","AVE. EDNITA NAZARIO #1015, Ponce, Puerto Rico 00716-7733","www.caribbean.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","No","1674","1222","15%","8%","Fall 2007","$2,889","-","363907","01252502"
"Caribbean University-Vega Baja","Carr 671 K.M. 5, Sector El Criollo, Bo. Algarrobo, Vega Baja, Puerto Rico 00964","www.caribbean.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","673","530","28%","10%","Fall 2007","$3,144","-","363916","01252501"
"Carleton College","One North College Street, Northfield, Minnesota 55057-4001","www.carleton.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","2055","2055","92%","NA","Fall 2007","$32,194","-","173258","00234000"
"Carlos Albizu University-Miami","2173 N.W.  99th Avenue, Miami, Florida 33172-2209","www.mia.albizu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","1046","322","17%","NA","Fall 2007","$15,330","-","132842","01072401"
"Carlos Albizu University-San Juan","San Francisco St Old San Juan, San Juan, Puerto Rico 00902-3711","www.albizu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","930","162","NA","NA","Fall 2007","NA","-","241331","01072400"
"Carlow University","3333 Fifth Ave, Pittsburgh, Pennsylvania 15213-3165","www.carlow.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Large","Yes","2922","1955","62%","NA","Fall 2007","$18,703","-","211431","00330300"
"Carnegie Mellon University","5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213-3890","www.cmu.edu/","4-year, Private not-for-profit","One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","11978","5921","88%","NA","Fall 2007","$35,464","-","211440","00324200"
"Carolina Christian College","4209 Indiana Avenue, Winston Salem, North Carolina 27105","www.carolina.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","137","116","NA","NA","Fall 2007","$4,923","-","199971","03570300"
"Carolina College of Biblical Studies","817 South McPherson Church Road, Fayetteville, North Carolina 28303-5157","ccbs.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","111","111","NA","NA","Fall 2007","$2,694","-","461032","04154200"
"Carrington College-Phoenix","8503 N 27th Ave., Phoenix, Arizona 85051-4063","www.carrington.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","560","560","64%","NA","Fall 2007","$20,484","Medical/Clinical Assistant","103893","02100600"
"Carroll College","1601 N Benton Ave, Helena, Montana 59625-0002","www.carroll.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Town: Remote","Yes","1463","1463","67%","NA","Fall 2007","$23,762","-","180106","00252600"
"Carroll University","100 N East Ave, Waukesha, Wisconsin 53186","www.carrollu.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","Yes","3571","3233","56%","NA","Fall 2007","$23,329","-","238458","00383800"
"Carson-Newman University","1646 S Russell Ave, Jefferson City, Tennessee 37760","www.cn.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Small","Yes","1967","1646","50%","NA","Fall 2007","$14,312","-","219806","00348100"
"Carthage College","2001 Alford Park Dr, Kenosha, Wisconsin 53140-1994","www.carthage.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Midsize","Yes","3029","2932","65%","NA","Fall 2007","$26,572","-","238476","00383900"
"Carver Bible College","3870 Cascade Rd, Atlanta, Georgia 30331","www.carver.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Suburb: Large","Yes","174","174","20%","NA","Fall 2007","$15,981","-","139287","03635300"
"Case Western Reserve University","10900 Euclid Ave, Cleveland, Ohio 44106","www.case.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","10026","4386","80%","NA","Fall 2007","$25,116","-","201645","00302400"
"Castleton State College","62 Alumni Dr, Castleton, Vermont 05735","www.castleton.edu","4-year, Public","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","2156","2057","51%","NA","Fall 2007","$15,161","-","230834","00368300"
"Catawba College","2300 W Innes St, Salisbury, North Carolina 28144","www.catawba.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Midsize","Yes","1337","1323","53%","NA","Fall 2007","$20,166","-","198215","00291400"
"Cathedral Bible College","803 Howard Avenue, Myrtle Beach, South Carolina 29577-1413","www.cathedralministries.org","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree","City: Small","Yes","151","119","NA","NA","Fall 2007","NA","-","218089",""
"Catholic University of America","620 Michigan Avenue, NE, Washington, District of Columbia 20064","www.cua.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","6838","3694","69%","NA","Fall 2007","$35,611","-","131283","00143700"
"Cazenovia College","22 Sullivan St, Cazenovia, New York 13035","www.cazenovia.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Town: Fringe","Yes","990","990","59%","NA","Fall 2007","$18,352","-","189848","00268500"
"Cedar Crest College","100 College Drive, Allentown, Pennsylvania 18104-6196","www.cedarcrest.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Midsize","Yes","1567","1359","60%","7%","Fall 2007","$19,225","-","211468","00324300"
"Cedarville University","251 N. Main Street, Cedarville, Ohio 45314-0601","www.cedarville.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Town: Fringe","Yes","3379","3219","73%","NA","Fall 2007","$22,648","-","201654","00302500"
"Centenary College","400 Jefferson St, Hackettstown, New Jersey 07840","www.centenarycollege.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","2576","1891","57%","NA","Fall 2007","$26,830","-","183974","00259900"
"Centenary College of Louisiana","2911 Centenary Boulevard, Shreveport, Louisiana 71134-1188","www.centenary.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","776","698","59%","NA","Fall 2007","$19,845","-","158477","00200300"
"Central Baptist College","1501 College Avenue, Conway, Arkansas 72034","www.cbc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","Yes","832","832","39%","16%","Fall 2007","$11,574","-","106713","00109300"
"Central Christian College of Kansas","1200 S Main, McPherson, Kansas 67460-5740","www.centralchristian.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Remote","Yes","819","819","50%","NA","Fall 2007","$19,563","-","154855","00190800"
"Central Christian College of the Bible","911 E Urbandale Dr, Moberly, Missouri 65270-1997","www.cccb.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Distant","Yes","333","333","44%","NA","Fall 2007","$14,808","-","176910","02266400"
"Central College","812 University, Pella, Iowa 50219","www.central.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1486","1486","65%","NA","Fall 2007","$22,177","-","153108","00185000"
"Central Connecticut State University","1615 Stanley St, New Britain, Connecticut 06050","www.ccsu.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","12091","9942","52%","NA","Fall 2007","$14,780","-","128771","00137800"
"Central Methodist University-College of Graduate and Extended Studies","411 Central Methodist Square, Fayette, Missouri 65248-1198","www.centralmethodist.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","No","4534","4321","NA","NA","Fall 2007","NA","-","445267","00245300"
"Central Methodist University-College of Liberal Arts and Sciences","411 Central Methodist Square, Fayette, Missouri 65248-1198","www.centralmethodist.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","1173","1173","44%","NA","Fall 2007","$18,668","-","176947","00245300"
"Central Michigan University","106 Warriner Hall, Mount Pleasant, Michigan 48859","www.cmich.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Distant","Yes","27626","21332","59%","NA","Fall 2007","$12,936","-","169248","00224300"
"Central Penn College","College Hill & Valley Rds, Summerdale, Pennsylvania 17093-0309","www.centralpenn.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","1342","1342","45%","6%","Fall 2007","$17,320","-","211477","00489000"
"Central State University","1400 Brush Row Rd, Wilberforce, Ohio 45384-1004","www.centralstate.edu","4-year, Public","Bachelor's degree|Master's degree","Rural: Fringe","Yes","2152","2116","25%","NA","Fall 2007","$11,199","-","201690","00302600"
"Central Washington University","400 East University Way, Ellensburg, Washington 98926-7501","www.cwu.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Town: Distant","Yes","11268","10737","51%","NA","Fall 2007","$14,374","-","234827","00377100"
"Central Yeshiva Tomchei Tmimim Lubavitz","841-853 Ocean Pky, Brooklyn, New York 11230","","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","703","643","10%","42%","Fall 2007","$16,809","-","189857","00477600"
"Centralia College","600 Centralia College Blvd., Centralia, Washington 98531-4099","www.centralia.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Distant","Yes","3334","3334","41%","20%","Fall 2007","$6,681","-","234845","00377200"
"Centre College","600 W Walnut St, Danville, Kentucky 40422-1394","www.centre.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1344","1344","82%","NA","Fall 2007","$25,478","-","156408","00196100"
"Centro de Estudios Multidisciplinarios-Bayamon","25 Degetau St, Bayamón, Puerto Rico 00961","www.cempr.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","712","712","67%","NA","Fall 2007","$7,156","-","451741","02189103"
"Centro de Estudios Multidisciplinarios-Humacao","8 Dr Vidal St, Humacao, Puerto Rico 00791-4210","www.cempr.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","785","785","63%","2%","Fall 2007","$6,778","-","376224","02189101"
"Centro de Estudios Multidisciplinarios-San Juan","1206  13th. Street  Ext San Agustin, San Juan, Puerto Rico 00926-1931","www.cempr.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","1243","1243","86%","NA","Fall 2007","$7,131","-","241517","02189100"
"Centura College-Virginia Beach","2697 Dean Dr Ste 100, Virginia Beach, Virginia 23452-7431","www.centura.edu/VA_Beach/default.aspx","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","1484","1484","30%","5%","Fall 2007","$27,074","-","232016","02334400"
"Chadron State College","1000 Main St, Chadron, Nebraska 69337-2690","www.csc.edu","4-year, Public","Bachelor's degree|Master's degree","Town: Remote","Yes","2994","2359","33%","25%","Fall 2007","$10,233","-","180948","00253900"
"Chamberlain College of Nursing-Arizona","2149 West Dunlap Ave., Phoenix, Arizona 85021-2995","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","531","531","NA","NA","Fall 2007","$18,645","-","454245","00638503"
"Chamberlain College of Nursing-Florida","5200 Belfort Rd, Jacksonville, Florida 32256","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","586","586","NA","NA","Fall 2007","NA","-","457129","00638504"
"Chamberlain College of Nursing-Georgia","5775 Peachtree-Dunwoody Road, NE, Suite A100, Atlanta, Georgia 30342-1556","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Small","No","381","381","NA","NA","Fall 2007","$19,754","-","475732","00638511"
"Chamberlain College of Nursing-Illinois","1221 N Swift Rd, Addison, Illinois 60101","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","Suburb: Large","No","11898","9877","NA","NA","Fall 2007","$19,901","-","454227","00638500"
